Frame,Man0,RF0,NB0,Man5,RF5,NB5,RF5_0min,Man10,RF10,NB10,RF10_0min,Man15,RF15,NB15,RF15_0min
51,435668,441032,582677,445919,396864,625010,497082,469268,474905,926396,524107,494914,372924,937548,633160
52,437888,431272,579780,445202,403980,629803,496147,502154,476561,911846,519303,494822,370753,938981,622664
53,436726,437167,584078,443488,399717,630681,502095,505523,483151,681683,523487,495663,371063,960583,623687
54,436566,438142,579999,447359,407653,630748,504759,504017,469713,916290,511635,491067,377899,947372,624919
55,438003,433622,584143,446077,402686,646566,488860,500451,478229,910904,510726,492609,364254,931524,599264
56,436400,436517,582857,448060,405273,630740,504888,502343,477452,909821,512609,487418,377575,947105,551060
57,438162,437293,580465,449656,406666,665531,505832,501049,479102,908015,512251,485737,385860,944674,549226
58,438067,432995,583104,447788,405502,632742,485899,500296,479213,918373,504924,488291,388739,975860,575931
59,433498,431429,579547,451440,404200,636832,502904,503556,485834,671593,515153,469851,386595,852671,546937
60,439538,438401,580660,444823,404559,636697,500692,502149,482121,921403,511792,471061,415560,853150,562414
61,438297,432752,585854,449814,399312,645868,506172,502538,482483,919211,502598,490576,391767,725460,569781
62,438191,439708,578207,449053,409040,648492,492645,504008,481251,901816,512257,487040,400353,886235,560577
63,437008,436928,583523,445210,405403,633794,484457,500220,483032,898481,505454,469868,396370,826982,529906
64,436495,440725,582520,450952,399982,641605,500190,502114,480509,850863,508210,465484,419372,728236,516857
65,435243,433149,567083,449040,402952,652143,508140,504751,479032,919229,508804,466882,397332,748544,513973
66,436555,431392,577539,447029,408531,639441,490728,499280,481447,903468,508037,464511,392300,726671,559877
67,435722,434497,576887,449017,405231,635925,501504,500329,477592,903872,502513,463788,389455,844651,574532
68,434345,437183,574500,445485,398894,654510,501611,505132,487458,903861,515941,492522,395675,626550,569992
69,433135,434910,563386,448819,411661,650103,494551,502937,478308,852080,507248,481749,388259,336126,575262
70,422317,435676,546245,447101,404451,629608,503134,498612,482020,921492,507161,478269,391581,611861,556280
71,422850,429013,548337,449862,409484,644064,492140,499092,482014,899525,509565,481567,392463,338291,568781
72,423438,427306,530819,449291,403370,638547,489561,497387,480603,916591,506719,481098,380910,960124,544514
73,436326,433304,498822,449402,404659,634637,492719,504907,484371,906756,514486,483872,384892,935671,550962
74,431817,433788,474892,445383,402709,633848,501648,501932,477212,926632,507594,485592,372336,957917,548637
75,425895,435993,460760,451539,410288,641848,505478,500829,481615,909700,511073,486032,382745,956832,586645
76,423649,437298,450227,448248,407938,643246,492167,504127,482104,911186,513680,489406,385517,925784,639261
77,426810,443414,437781,445447,409702,636269,490934,502549,476192,899433,506569,488143,373026,915306,553023
78,440140,435628,464337,447221,402980,628993,504685,505810,484670,853726,516623,486011,383787,869952,615499
79,448764,422391,481636,448278,399174,638582,495849,499330,481552,907514,510676,491863,377869,941130,630338
80,437076,415177,521681,451841,406520,660437,502225,502787,481473,907934,507745,491070,380375,927670,647591
81,442117,421195,527432,451267,400372,649253,507091,506120,483796,921823,505857,488278,364632,952960,640784
82,443946,427403,519739,448789,401478,647828,503292,501035,485607,906285,509976,490194,392935,939936,604202
83,444807,425876,526121,449416,409594,643981,510398,497266,481724,899901,509442,490975,376734,921601,619933
84,452868,434394,537014,448796,405581,629161,503394,499895,482100,923210,509958,489166,386789,935090,618910
85,425865,429325,554679,448334,408451,652952,508670,498901,481031,904815,506203,491398,392699,956662,617574
86,428344,430658,554523,449820,403308,642014,509256,499997,480563,861635,505289,492311,385885,918388,612867
87,429355,432784,564999,447656,407444,641082,501837,499465,481632,869824,512822,486962,389029,978368,621886
88,427419,427511,566163,443677,404308,635244,507211,502423,486772,905901,512183,492903,386561,976895,613417
89,430817,438791,570389,444653,400618,638827,487268,502952,474125,923600,507421,494222,375324,956457,607444
90,429394,435833,560828,448673,403534,624498,505281,496236,480346,902883,509730,492864,369658,933054,603915
91,432228,439430,574509,437582,393219,619466,488791,504324,484895,929240,509832,490650,379011,943857,619418
92,431392,435253,574137,435401,393157,614969,491065,503061,471570,913006,508264,493100,375605,925925,611577
93,428842,432488,562336,446607,406026,603637,485099,500865,485081,921800,510471,493121,375748,929929,601336
94,429703,434263,571001,444769,396196,580493,450323,501334,483020,917058,509691,494553,383455,934499,611661
95,431462,436173,573918,447733,386508,573835,445048,501197,484668,903423,509742,490339,381951,970995,616280
96,430690,432553,559106,434366,389453,614280,438703,502722,486548,899716,509073,492894,382821,934784,615576
97,433150,436955,578441,432681,380870,571545,426440,502745,483691,902455,511888,494581,373930,987016,619129
98,429286,434074,574051,434772,385626,570158,418558,497430,481891,905018,506895,492586,377494,963348,615557
99,433814,438494,584839,440932,398147,590468,459113,500668,486117,895603,506624,489457,370353,949675,611232
100,433887,434903,579273,445339,401474,588162,475150,500261,478294,901193,507118,495057,386232,929277,617518
